ux_l,ux_r,uy_t,uy_b
 -0.0, 5.388775433709985e-09, 1.9788029253927914e-07, 2.0328892644431255e-07
 -0.0, 5.11410098830668e-09, 1.9274665693451938e-07, 1.9788029253927914e-07
 -0.0, 4.860399681852022e-09, 1.8787008658815765e-07, 1.9274665693451938e-07
 -0.0, 4.625004366373951e-09, 1.8322547711583118e-07, 1.8787008658815765e-07
 -0.0, 4.407367488645351e-09, 1.7879923054845473e-07, 1.8322547711583118e-07
 -0.0, 4.204619668921688e-09, 1.7458077330451413e-07, 1.7879923054845473e-07
 -0.0, 4.016051563563665e-09, 1.7055646229594772e-07, 1.7458077330451413e-07
 -0.0, 3.839903165756193e-09, 1.6670860917158378e-07, 1.7055646229594772e-07
 -0.0, 3.676098967889487e-09, 1.6302545680214246e-07, 1.6670860917158378e-07
 -0.0, 3.5231071662289823e-09, 1.5950044419087373e-07, 1.6302545680214246e-07
 -0.0, 3.379458815151915e-09, 1.5612051489883267e-07, 1.5950044419087373e-07
 -0.0, 3.2465356776766404e-09, 1.5288331903761435e-07, 1.5612051489883267e-07
 -0.0, 3.1212460402181866e-09, 1.4977200056952457e-07, 1.5288331903761435e-07
 -0.0, 3.0035283368075315e-09, 1.467787179102518e-07, 1.4977200056952457e-07
 -0.0, 2.8933636584820204e-09, 1.4390542042435838e-07, 1.467787179102518e-07
 -0.0, 2.790463046691095e-09, 1.411425317951659e-07, 1.4390542042435838e-07
 -0.0, 2.693089207848737e-09, 1.3847993832569504e-07, 1.411425317951659e-07
 -0.0, 2.603773187254043e-09, 1.359145857522816e-07, 1.3847993832569504e-07
 -0.0, 2.5181644150796098e-09, 1.3344247649497362e-07, 1.359145857522816e-07
 -0.0, 2.4401737286278444e-09, 1.310626864681064e-07, 1.3344247649497362e-07
 -0.0, 2.3635801593889217e-09, 1.2876686227778168e-07, 1.310626864681064e-07
 -0.0, 2.2905130803654743e-09, 1.265471262005325e-07, 1.2876686227778168e-07
 -0.0, 2.216839594883901e-09, 1.2439549280815668e-07, 1.265471262005325e-07
 -0.0, 2.136886166615689e-09, 1.2230456969615402e-07, 1.2439549280815668e-07
 -0.0, 2.0622619952310218e-09, 1.2027844085784744e-07, 1.2230456969615402e-07
 -0.0, 1.9823999258590234e-09, 1.182991715127034e-07, 1.2027844085784744e-07
 -0.0, 1.9147145817301207e-09, 1.1636939572298236e-07, 1.182991715127034e-07
 -0.0, 1.8590546340060746e-09, 1.1449755592531389e-07, 1.1636939572298236e-07
 -0.0, 1.8096614566612838e-09, 1.1268027832431838e-07, 1.1449755592531389e-07
