ux_l,ux_r,uy_t,uy_b
 -0.0, 1.1021592337638837e-07, 1.1021592337648359e-07, -0.0
 -0.0, 5.173963495922586e-07, 7.914191987961332e-07, 1.3088140900957424e-06
 -0.0, 2.4337735165206346e-07, 5.480468721801565e-07, 7.914191987961332e-07
 -0.0, 1.333128420459551e-07, 4.1474679355733936e-07, 5.480468721801565e-07
 -0.0, 8.225912979257294e-08, 3.3249451922930163e-07, 4.1474679355733936e-07
 -0.0, 5.543277394248031e-08, 2.770529662020815e-07, 3.3249451922930163e-07
 -0.0, 3.9867395452216344e-08, 2.3717875062571012e-07, 2.770529662020815e-07
 -0.0, 3.011743911829739e-08, 2.070449922309717e-07, 2.3717875062571012e-07
 -0.0, 2.364430777506888e-08, 1.8338530078042323e-07, 2.070449922309717e-07
 -0.0, 1.9159755031451464e-08, 1.6421626509446416e-07, 1.8338530078042323e-07
 -0.0, 1.5945631650773723e-08, 1.482715679700318e-07, 1.6421626509446416e-07
 -0.0, 1.3582185624809737e-08, 1.3469447559533761e-07, 1.482715679700318e-07
 -0.0, 1.1813920701720313e-08, 1.2290147082507114e-07, 1.3469447559533761e-07
 -0.0, 1.0465258753804584e-08, 1.124528478464637e-07, 1.2290147082507114e-07
 -0.0, 9.435518699674493e-09, 1.0303737019788744e-07, 1.124528478464637e-07
 -0.0, 8.642500261520712e-09, 9.440705322600624e-08, 1.0303737019788744e-07
 -0.0, 8.032140950724016e-09, 8.638545299751664e-08, 9.440705322600624e-08
 -0.0, 7.567531087411287e-09, 7.883657464483534e-08, 8.638545299751664e-08
 -0.0, 7.211554944370076e-09, 7.163085887408177e-08, 7.883657464483534e-08
 -0.0, 6.946253659925011e-09, 6.468161846364068e-08, 7.163085887408177e-08
 -0.0, 6.751402641555486e-09, 5.7915437934396954e-08, 6.468161846364068e-08
 -0.0, 6.607899534172754e-09, 5.128041461577429e-08, 5.7915437934396954e-08
 -0.0, 6.512734695827698e-09, 4.4747766901480175e-08, 5.128041461577429e-08
 -0.0, 6.446944934193212e-09, 3.828072255610296e-08, 4.4747766901480175e-08
 -0.0, 6.408747350015972e-09, 3.186452543915542e-08, 3.828072255610296e-08
 -0.0, 6.388756407277257e-09, 2.54798180581901e-08, 3.186452543915542e-08
 -0.0, 6.376212292310843e-09, 1.9096331818208632e-08, 2.54798180581901e-08
 -0.0, 6.376853898750789e-09, 1.2730014864999732e-08, 1.9096331818208632e-08
 -0.0, 6.374901880185182e-09, 6.36441218666048e-09, 1.2730014864999732e-08
 -0.0, 6.376655714193393e-09, -0.0, 6.36441218666048e-09
 1.3088140900946116e-06, 7.914191987960379e-07, 5.173963495923538e-07, -0.0
 5.173963495922586e-07, 5.174002008559699e-07, 5.174002008559381e-07, 5.173963495923538e-07
 2.4337735165206346e-07, 3.227898130586669e-07, 4.379823625740482e-07, 5.174002008559381e-07
 1.333128420459551e-07, 2.075969604013836e-07, 3.636930813039572e-07, 4.379823625740482e-07
 8.225912979257294e-08, 1.4027832549763e-07, 3.05668163379209e-07, 3.636930813039572e-07
 5.543277394248031e-08, 9.961678301289183e-08, 2.6148758771181756e-07, 3.05668163379209e-07
 3.9867395452216344e-08, 7.392015643721539e-08, 2.2742879429179116e-07, 2.6148758771181756e-07
 3.011743911829739e-08, 5.695467637728397e-08, 2.0057186088774318e-07, 2.2742879429179116e-07
