ux_l,ux_r,uy_t,uy_b
 -0.0, 2.598826226889265e-07, 2.598826226877838e-07, -0.0
 -0.0, 1.2199554692634934e-06, 1.8661521082148435e-06, 3.086106144417432e-06
 -0.0, 5.737618777744723e-07, 1.2924076504788247e-06, 1.8661521082148435e-06
 -0.0, 3.141382047187714e-07, 9.78285483271641e-07, 1.2924076504788247e-06
 -0.0, 1.9363542946294773e-07, 7.846728948099809e-07, 9.78285483271641e-07
 -0.0, 1.3023569754845038e-07, 6.544765336683614e-07, 7.846728948099809e-07
 -0.0, 9.334471415665859e-08, 5.611923147939286e-07, 6.544765336683614e-07
 -0.0, 7.010817762686021e-08, 4.911433494930864e-07, 5.611923147939286e-07
 -0.0, 5.454942583434149e-08, 4.3660244080015644e-07, 4.911433494930864e-07
 -0.0, 4.3658863036807155e-08, 3.9295010594362995e-07, 4.3660244080015644e-07
 -0.0, 3.573214340888777e-08, 3.5721263527135816e-07, 3.9295010594362995e-07
 -0.0, 2.9788939523573018e-08, 3.2742238532077214e-07, 3.5721263527135816e-07
 -0.0, 2.5219284904622387e-08, 3.022023858496274e-07, 3.2742238532077214e-07
 -0.0, 2.1623373278544347e-08, 2.805636301215414e-07, 3.022023858496274e-07
 -0.0, 1.8744144458770546e-08, 2.61795180983596e-07, 2.805636301215414e-07
 -0.0, 1.6410756734932202e-08, 2.4535319311781206e-07, 2.61795180983596e-07
 -0.0, 1.4499283019742345e-08, 2.308362796329794e-07, 2.4535319311781206e-07
 -0.0, 1.2900203670371583e-08, 2.1791180301999175e-07, 2.308362796329794e-07
 -0.0, 1.1548166770147148e-08, 2.0632082676942203e-07, 2.1791180301999175e-07
 -0.0, 1.0406185085711042e-08, 1.958786740813423e-07, 2.0632082676942203e-07
 -0.0, 9.425269978419745e-09, 1.8640454813583254e-07, 1.958786740813423e-07
 -0.0, 8.583263211146298e-09, 1.7776705840026577e-07, 1.8640454813583254e-07
 -0.0, 7.862998239567387e-09, 1.6987597055635056e-07, 1.7776705840026577e-07
 -0.0, 7.224127670405903e-09, 1.6262566800509364e-07, 1.6987597055635056e-07
 -0.0, 6.660369278569296e-09, 1.5593209745013835e-07, 1.6262566800509364e-07
 -0.0, 6.167006346041053e-09, 1.497371372122296e-07, 1.5593209745013835e-07
 -0.0, 5.726193745718355e-09, 1.439853789773292e-07, 1.497371372122296e-07
 -0.0, 5.339578596032194e-09, 1.386301124394274e-07, 1.439853789773292e-07
 -0.0, 5.001391254434582e-09, 1.3363201356423558e-07, 1.386301124394274e-07
 -0.0, 4.6900904215589316e-09, 1.2894385058963208e-07, 1.3363201356423558e-07
 -0.0, 4.410411481509819e-09, 1.245400201552736e-07, 1.2894385058963208e-07
 -0.0, 4.156927758800131e-09, 1.2039125971771653e-07, 1.245400201552736e-07
 -0.0, 3.924729909048544e-09, 1.1646386544881247e-07, 1.2039125971771653e-07
 -0.0, 3.7202521049266994e-09, 1.1273467793474534e-07, 1.1646386544881247e-07
 -0.0, 3.5397969272509292e-09, 1.0919607566169921e-07, 1.1273467793474534e-07
 -0.0, 3.37415592799064e-09, 1.0583411571420689e-07, 1.0919607566169921e-07
 -0.0, 3.224723376332931e-09, 1.0262364197144826e-07, 1.0583411571420689e-07
 -0.0, 3.087153060215682e-09, 9.955949645631858e-08, 1.0262364197144826e-07
 -0.0, 2.956115267838981e-09, 9.661847665836851e-08, 9.955949645631858e-08
 -0.0, 2.839825730058809e-09, 9.380091160361075e-08, 9.661847665836851e-08
 -0.0, 2.733446014373302e-09, 9.109837048702852e-08, 9.380091160361075e-08
 -0.0, 2.6345325385034935e-09, 8.84834372912795e-08, 9.109837048702852e-08
 -0.0, 2.5471254606220507e-09, 8.59488485207336e-08, 8.84834372912795e-08
 -0.0, 2.4633764936648486e-09, 8.348624613587318e-08, 8.59488485207336e-08
 -0.0, 2.384152280767693e-09, 8.108742371117487e-08, 8.348624613587318e-08
 -0.0, 2.3156751213517064e-09, 7.876178085756491e-08, 8.108742371117487e-08
 -0.0, 2.249991667114028e-09, 7.649788746190786e-08, 7.876178085756491e-08
 -0.0, 2.195013737087489e-09, 7.42910145848676e-08, 7.649788746190786e-08
 -0.0, 2.1472653420743474e-09, 7.214332017740845e-08, 7.42910145848676e-08
 -0.0, 2.100916641216445e-09, 7.00367568434314e-08, 7.214332017740845e-08
 -0.0, 2.0617151524708177e-09, 6.797084425127898e-08, 7.00367568434314e-08
 -0.0, 2.0217521177292026e-09, 6.593828674585322e-08, 6.797084425127898e-08
 -0.0, 1.985621609951417e-09, 6.39387024970263e-08, 6.593828674585322e-08
 -0.0, 1.951448858976876e-09, 6.197185354936215e-08, 6.39387024970263e-08
 -0.0, 1.919166855193083e-09, 6.00401725003601e-08, 6.197185354936215e-08
 -0.0, 1.889952133327448e-09, 5.8130399822459353e-08, 6.00401725003601e-08
 -0.0, 1.8641197088276983e-09, 5.624634426639245e-08, 5.8130399822459353e-08
 -0.0, 1.8399394794770334e-09, 5.4390942323283765e-08, 5.624634426639245e-08
 -0.0, 1.8210700126291324e-09, 5.2561876616022576e-08, 5.4390942323283765e-08
 -0.0, 1.7998602359718408e-09, 5.0755272320548906e-08, 5.2561876616022576e-08
