ux_l,ux_r,uy_t,uy_b
 -0.0, 1.8810889027107204e-07, 1.8810889026923096e-07, -0.0
 -0.0, 8.830226611166655e-07, 1.3507699589028854e-06, 2.2337930719471176e-06
 -0.0, 4.1528461193055404e-07, 9.354673054806115e-07, 1.3507699589028854e-06
 -0.0, 2.2736775261232565e-07, 7.080926072599046e-07, 9.354673054806115e-07
 -0.0, 1.4015567760223796e-07, 5.679506905706967e-07, 7.080926072599046e-07
 -0.0, 9.426747494857731e-08, 4.736873322882015e-07, 5.679506905706967e-07
 -0.0, 6.756610517498353e-08, 4.0613224857459195e-07, 4.736873322882015e-07
 -0.0, 5.075971868930451e-08, 3.5537913176278125e-07, 4.0613224857459195e-07
 -0.0, 3.9524669444809044e-08, 3.1586026663271485e-07, 3.5537913176278125e-07
 -0.0, 3.1656715661846394e-08, 2.8419666626678853e-07, 3.1586026663271485e-07
 -0.0, 2.5937371861577782e-08, 2.582633150237975e-07, 2.8419666626678853e-07
 -0.0, 2.164685711344787e-08, 2.3661537159666674e-07, 2.582633150237975e-07
 -0.0, 1.8345808581239983e-08, 2.182483157887641e-07, 2.3661537159666674e-07
 -0.0, 1.5764050131832477e-08, 2.0246757663734698e-07, 2.182483157887641e-07
 -0.0, 1.3703735306150513e-08, 1.8874722938530457e-07, 2.0246757663734698e-07
 -0.0, 1.203345290622349e-08, 1.76692352285783e-07, 1.8874722938530457e-07
 -0.0, 1.0665554228189198e-08, 1.6600647782461553e-07, 1.76692352285783e-07
 -0.0, 9.52564439594908e-09, 1.5645482353612228e-07, 1.6600647782461553e-07
 -0.0, 8.568867753270474e-09, 1.4785199266456362e-07, 1.5645482353612228e-07
 -0.0, 7.768211089996554e-09, 1.4006199046799422e-07, 1.4785199266456362e-07
 -0.0, 7.088530601600467e-09, 1.3295799179749495e-07, 1.4006199046799422e-07
 -0.0, 6.509863054473545e-09, 1.2644314037701986e-07, 1.3295799179749495e-07
 -0.0, 6.017464188372027e-09, 1.2045279625579598e-07, 1.2644314037701986e-07
 -0.0, 5.583608964336362e-09, 1.1490380637297115e-07, 1.2045279625579598e-07
 -0.0, 5.206554381534426e-09, 1.0973153814311326e-07, 1.1490380637297115e-07
 -0.0, 4.876719862115815e-09, 1.0488642325149383e-07, 1.0973153814311326e-07
 -0.0, 4.584592878085278e-09, 1.0032050582831928e-07, 1.0488642325149383e-07
 -0.0, 4.334697004766455e-09, 9.599846297286762e-08, 1.0032050582831928e-07
